census_year,small_area_guid,small_area_code,small_area_geogid,county_code,county_name,electoral_division_guid,electoral_division_code,electoral_division_name,local_electoral_area_code,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,urban_area_flag,urban_area_name
2022,4c07d11e-2620-851d-e053-ca3ca8c0ca7f,268127011,A268127011,02,DUBLIN CITY,2ae19629-1dd2-13a3-e055-000000000001,268127,RATHFARNHAM,KIMMAGE-RATHMINES,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-01b1-851d-e053-ca3ca8c0ca7f,197094001,A197094001,30,ROSCOMMON,2ae19629-19c9-13a3-e055-000000000001,197094,ROCKHILL,ATHLONE,IE0,Ireland,IE04,Northern and Western,IE042,West,0,
2022,4c07d11e-25ab-851d-e053-ca3ca8c0ca7f,267059009,A267059009,05,DUN LAOGHAIRE/RATHDOWN,2ae19629-1d1c-13a3-e055-000000000001,267059,CLONSKEAGH-WINDY ARBOUR,DUNDRUM,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-35d0-851d-e053-ca3ca8c0ca7f,268106007,A268106007,02,DUBLIN CITY,2ae19629-1db2-13a3-e055-000000000001,268106,NORTH CITY,NORTH INNER CITY,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-3074-851d-e053-ca3ca8c0ca7f,267092031,A267092031,05,DUN LAOGHAIRE/RATHDOWN,2ae19629-1d7e-13a3-e055-000000000001,267092,GLENCULLEN,GLENCULLEN-SANDYFORD,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-3a6b-851d-e053-ca3ca8c0ca7f,157048017,A157048017,29,MAYO,2ae19629-1948-13a3-e055-000000000001,157048,CASTLEBAR RURAL,CASTLEBAR,IE0,Ireland,IE04,Northern and Western,IE042,West,1,Castlebar
2022,4c07d11d-f96e-851d-e053-ca3ca8c0ca7f,127026027,A127026027,21,LIMERICK,2ae19629-1770-13a3-e055-000000000001,127026,BALLYSIMON,LIMERICK CITY EAST,IE0,Ireland,IE05,Southern,IE051,Mid-West,1,Limerick city and suburbs
2022,4c07d11e-04c7-851d-e053-ca3ca8c0ca7f,157021015,A157021015,29,MAYO,2ae19629-18cb-13a3-e055-000000000001,157021,BALLINROBE,CLAREMORRIS,IE0,Ireland,IE04,Northern and Western,IE042,West,1,Ballinrobe
2022,c06e5db2-ac3e-4caf-bef1-e94ad0b62e69,247117044/03,A247117044/03,14,WEXFORD,2ae19629-1e45-13a3-e055-000000000001,247117,WEXFORD RURAL,WEXFORD,IE0,Ireland,IE05,Southern,IE052,South-East,1,Wexford
2022,4c07d11e-10d2-851d-e053-ca3ca8c0ca7f,017049001,A017049001,01,CARLOW,2ae19629-1823-13a3-e055-000000000001,017049,TINNAHINCH,MUINEBEAG,IE0,Ireland,IE05,Southern,IE052,South-East,0,
